INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO
403959-9,R  ARACA 225  BONSUCESSO FORTALEZA - CE CEP:60545380,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
119434-8,R PRO RAIMUNDO GOMES 515  VILA VELHA FORTALEZA - CE CEP:60347165,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
274413-9,R SAO FRANCISCO 341  BOM JARDIM FORTALEZA - CE CEP:60545064,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
319666-6,AV PIN ANTONIO BANDEIRA 990  VICENTE PINZON FORTALEZA - CE CEP:60182304,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,Imunidade,Templos Religiosos
253932-2,R  CARAMURU 269  SERRINHA FORTALEZA - CE CEP:60742175,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,Imunidade,Templos Religiosos
403886-0,AV PRO JOSE ARTHUR DE CARVALHO 2605  LAGOA REDONDA FORTALEZA - CE CEP:60831370,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,Imunidade,Templos Religiosos
355023-0,R  SIMAO SANTOS 421  PAUPINA FORTALEZA - CE CEP:60875020,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,Imunidade,Templos Religiosos
602505-6,R  ALEXANDRE BARAUNA 80  IGREJA JARDIM AMÉRICA FORTALEZA - CE CEP:60416130,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,Imunidade,Templos Religiosos
366516-0,R  ALBERTO JUNIOR 79  EDSON QUEIROZ FORTALEZA - CE CEP:60811655,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,Imunidade,Templos Religiosos
51324-5,R  JAIME BENEVOLO 875  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050081,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,Imunidade,Templos Religiosos
100348-8,R  BENTO ALBUQUERQUE 2265  COCÓ FORTALEZA - CE CEP:60192050,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,Imunidade,Templos Religiosos
454308-4,R  JOAQUIM FELICIO 1881  GUAJERU FORTALEZA - CE CEP:60843260,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,Imunidade,Templos Religiosos
258437-9,AV  BENJAMIM BRASIL 618  MONDUBIM FORTALEZA - CE CEP:60711442,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
138392-2,R  ANTONIO LAFAYETTE 180  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356140,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
177527-8,R TEN WILSON 465  ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
237340-8,R  PEDRO MELO (ANTONIO BEZERRA) 757  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360220,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
18965-0,R  NOGUEIRA ACIOLI 435  CENTRO FORTALEZA - CE CEP:60110140,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
10745-0,R  CARVALHO MOTA 485  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430760,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
572297-7,R  NOGUEIRA ACIOLI 349  ALTOS CENTRO FORTALEZA - CE CEP:60110140,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
608312-9,AV  L (CONJ. PREF. JOSE WALTER) 1070  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60750110,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
24555-0,R  JOAO CORDEIRO 2379  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
372233-3,R  ALCIDES GERARDO 700  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870200,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,Imunidade,Templos Religiosos
309320-4,R  ANTONIO IVO 251  HENRIQUE JORGE FORTALEZA - CE CEP:60521025,ASSOCIACAO BIBLICA E CULTURAL NOVO MUNDO DE PAZ,Imunidade,Templos Religiosos
234663-0,AV SEN FERNANDES TAVORA 2200  DOM LUSTOSA FORTALEZA - CE CEP:60526642,ASSOCIACAO BRAS D'A IG DE JESUS CRISTO DOS ST DOS ULT DIAS,Imunidade,Templos Religiosos
251244-0,AV DR SILAS MUNGUBA 3900  SERRINHA FORTALEZA - CE CEP:60714502,ASSOCIACAO BRASILEIRA DA IGREJA JESUS C SANTOS ULTIMOS DIAS,Imunidade,Templos Religiosos
168600-3,R  GERMANO FRANCK 567  PARANGABA FORTALEZA - CE CEP:60740020,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,Imunidade,Templos Religiosos
604493-0,R  CAIO PRADO 100  PARANGABA FORTALEZA - CE CEP:60720040,ASSOCIACAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,Imunidade,Templos Religiosos
329100-6,AV DR SILAS MUNGUBA 4850  IGREJA SERRINHA FORTALEZA - CE CEP:60714502,ASSOCIACAO BRASILEIRA IGREJA JESUS CISTO SANTOS ULTIMOS DIAS,Imunidade,Templos Religiosos
259428-5,R CEL MANUEL ALBANO 299  Q015 MONDUBIM FORTALEZA - CE CEP:60711465,ASSOCIACAO CATOLICA DE EVANGELIZACAO MARIA PORTA DO CEU,Imunidade,Templos Religiosos
138074-5,R TEN MARQUES 139  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356150,ASSOCIACAO CONGREGACAO DE SANTA CATARINA,Imunidade,Templos Religiosos
33984-9,AV VIS DO RIO BRANCO 3545  JOAQUIM TÁVORA FORTALEZA - CE CEP:60055172,ASSOCIACAO DA IGREJA METODISTA,Imunidade,Templos Religiosos
74157-4,AV  DO IMPERADOR 891  CENTRO FORTALEZA - CE CEP:60015051,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,Imunidade,Templos Religiosos
846620-3,R  PEDRO I 1120  CENTRO FORTALEZA - CE CEP:60035101,ASSOCIACAO DA UNIAO ESTE BRASILEIRO DOS ADVENTISTA DO SETIMO DIA,Imunidade,Templos Religiosos
254138-6,R MAD ELISA BALDO (EDUARDO MOTA) 771  SERRINHA FORTALEZA - CE CEP:60741450,ASSOCIACAO DAS HUMILDES SERVAS DO SENHOR,Imunidade,Templos Religiosos
406930-7,R  ANDALUZIA 785  PEDRAS FORTALEZA - CE CEP:60874610,ASSOCIACAO DAS IRMAS MISSIONARIAS,Imunidade,Templos Religiosos
18664-3,R  RODRIGUES JUNIOR 268  CENTRO FORTALEZA - CE CEP:60060000,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,Imunidade,Templos Religiosos
67127-4,AV  FRANCISCO SA 1833  C JACARECANGA FORTALEZA - CE CEP:60010450,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,Imunidade,Templos Religiosos
185282-5,AV  ZEZE DIOGO 1110  CAIS DO PORTO FORTALEZA - CE CEP:60180012,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,Imunidade,Templos Religiosos
270474-9,AV FRE CIRILO 4241  MESSEJANA FORTALEZA - CE CEP:60840285,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,Imunidade,Templos Religiosos
301525-4,R  PAULO SETUBAL 350  MESSEJANA FORTALEZA - CE CEP:60842250,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,Imunidade,Templos Religiosos
66407-3,R COS ESTELITA 500  CENTRO FORTALEZA - CE CEP:60010260,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,Imunidade,Templos Religiosos
185287-6,AV  ZEZE DIOGO 1195  CAIS DO PORTO FORTALEZA - CE CEP:60180012,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,Imunidade,Templos Religiosos
541314-1,AV  DA UNIVERSIDADE 1896  A BENFICA FORTALEZA - CE CEP:60020180,ASSOCIACAO DAS IRMAS MISSIONARIAS CAPUCHINHAS,Imunidade,Templos Religiosos
53994-5,R CEL LINHARES 1828  ALDEOTA FORTALEZA - CE CEP:60170075,ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA,Imunidade,Templos Religiosos
15736-8,AV  DA UNIVERSIDADE 3106  BENFICA FORTALEZA - CE CEP:60020181,ASSOCIACAO DE ASSISTENCIA SOCIAL CATARINA LABOURE AASCL,Imunidade,Templos Religiosos
73116-1,R  VINTE E CINCO DE MARCO 330  CENTRO FORTALEZA - CE CEP:60060120,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,Imunidade,Templos Religiosos
153903-5,R  MARTINS NETO 379  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360415,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,Imunidade,Templos Religiosos
53107-3,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,Imunidade,Templos Religiosos
53108-1,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,Imunidade,Templos Religiosos
45026-0,R PRC ISABEL 1533  FARIAS BRITO FORTALEZA - CE CEP:60015061,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,Imunidade,Templos Religiosos
53106-5,AV DES MOREIRA 2211  DIONÍSIO TORRES FORTALEZA - CE CEP:60170173,ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,Imunidade,Templos Religiosos
102079-0,R  RIBEIRAO NOVO 125  BARRA DO CEARÁ FORTALEZA - CE CEP:60331780,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,Imunidade,Templos Religiosos
297297-2,AV  BERNARDO MANUEL 12750  MONDUBIM FORTALEZA - CE CEP:60762704,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,Imunidade,Templos Religiosos
367850-4,R  MINAS GERAIS 300  BELA VISTA FORTALEZA - CE CEP:60441135,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,Imunidade,Templos Religiosos
232843-7,R  MACEIO 1594  HENRIQUE JORGE FORTALEZA - CE CEP:60521105,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,Imunidade,Templos Religiosos
683869-3,R GAL OTAVIO DA SILVA PARANHOS 385  LOTES08.09 JARDIM IRACEMA FORTALEZA - CE CEP:60341515,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,Imunidade,Templos Religiosos
219874-6,R  MARTINS CARVALHO 3200  21/22 GRANJA LISBOA FORTALEZA - CE CEP:60540182,ASSOCIACAO DOS PREGADORES DO REINO DE DEUS,Imunidade,Templos Religiosos
12086-3,AV  JOAO PESSOA 4279  DAMAS FORTALEZA - CE CEP:60425813,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,Imunidade,Templos Religiosos
12085-5,AV  JOAO PESSOA 4279  DAMAS FORTALEZA - CE CEP:60425813,ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,Imunidade,Templos Religiosos
45305-6,AV  DA UNIVERSIDADE 1838  BENFICA FORTALEZA - CE CEP:60020180,ASSOCIACAO ESCOLA DA BIBLIA,Imunidade,Templos Religiosos
265015-0,R DR EDMILSON BARROS DE OLIVEIRA   SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60135520,ASSOCIACAO FACE DE CRISTO,Imunidade,Templos Religiosos
264746-0,R DR EDMILSON BARROS DE OLIVEIRA 191  LOTES_1.2.3.4.5_E_6_Q006 SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60135520,ASSOCIACAO FACE DE CRISTO,Imunidade,Templos Religiosos
284958-5,R  MANUEL CASTELO BRANCO 368  MESSEJANA FORTALEZA - CE CEP:60840015,ASSOCIACAO JESUS E MARIA,Imunidade,Templos Religiosos
600676-0,R  MANUEL CASTELO BRANCO 368  MESSEJANA FORTALEZA - CE CEP:60840015,ASSOCIACAO JESUS E MARIA,Imunidade,Templos Religiosos
169241-0,R  HILTON SANTOS 203  VARJOTA FORTALEZA - CE CEP:60175250,ASSOCIACAO LAR ESPIRITA MEIMEI,Imunidade,Templos Religiosos
735376-6,AV PRS CASTELO BRANCO   PIRAMBÚ FORTALEZA - CE CEP:60010000,ASSOCIACAO NOVA JERUSALEM,Imunidade,Templos Religiosos
105918-1,R  FRANCISCO CALACA 178  BARRA DO CEARÁ FORTALEZA - CE CEP:60334110,ASSOCIACAO NOVA JERUSALEM,Imunidade,Templos Religiosos
24562-3,R  JOAO CORDEIRO 2343  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,Imunidade,Templos Religiosos
73546-9,R DEP JOAO LOPES 138  CENTRO FORTALEZA - CE CEP:60060130,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,Imunidade,Templos Religiosos
24566-6,R  JOAO CORDEIRO 2325  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,Imunidade,Templos Religiosos
24592-5,R  ANTONIO AUGUSTO 2346  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110533,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,Imunidade,Templos Religiosos
24565-8,R  JOAO CORDEIRO 2331  JOAQUIM TÁVORA FORTALEZA - CE CEP:60110535,ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,Imunidade,Templos Religiosos
20456-0,Pç  PORTUGAL 44  ALDEOTA FORTALEZA - CE CEP:60170010,BANCO BRADESCO S.A.,Imunidade,Templos Religiosos
554044-5,R  NELSON COELHO 850  L-8Q-48 LAGOA REDONDA FORTALEZA - CE CEP:60831410,BAPTIST MID-MISSIONS DO BRASIL,Imunidade,Templos Religiosos
35674-3,R  JOAQUIM NABUCO 2627  DIONÍSIO TORRES FORTALEZA - CE CEP:60125121,BETHFAGE COMUNIDADE EVANGELICA,Imunidade,Templos Religiosos
288485-2,AV  ALBERTO CRAVEIRO 1680  BOA VISTA/CASTELÃO FORTALEZA - CE CEP:60861212,CARMELO SANTA TEREZINHA,Imunidade,Templos Religiosos
164746-6,R PDE JOAO PIAMARTA 458  BOM FUTURO FORTALEZA - CE CEP:60410315,CASA DE NAZARE,Imunidade,Templos Religiosos
164745-8,R PDE JOAO PIAMARTA 454  BOM FUTURO FORTALEZA - CE CEP:60410315,CASA DE NAZARE,Imunidade,Templos Religiosos
164776-8,R PDE JOAO PIAMARTA 465  PARREÃO FORTALEZA - CE CEP:60410315,CASA DE NAZARE,Imunidade,Templos Religiosos
45827-9,R GAL CLARINDO DE QUEIROZ 1231  CENTRO FORTALEZA - CE CEP:60035130,CASA DOS PADRES SACRAMENTINO,Imunidade,Templos Religiosos
207171-1,R  GUILHERME PERDIGAO 89  PARANGABA FORTALEZA - CE CEP:60720420,CASAS FRATERNAIS O NAZARENO,Imunidade,Templos Religiosos
97698-9,R  CURA DARS 21  CRISTO REDENTOR FORTALEZA - CE CEP:60311010,CENTRO COMUNITARIO CRISTO REDENTOR,Imunidade,Templos Religiosos
93551-4,R  GOMES PASSOS 740  ÁLVARO WEYNE FORTALEZA - CE CEP:60335060,CENTRO COMUNITARIO CRISTO REDENTOR,Imunidade,Templos Religiosos
533786-0,R BAR DE SOBRAL 831  MONTESE FORTALEZA - CE CEP:60420775,CENTRO DE APOIO AO DESENVOLVIMENTO ESPIRITUAL,Imunidade,Templos Religiosos
18062-9,R  NOGUEIRA ACIOLI 863  CENTRO FORTALEZA - CE CEP:60110140,CENTRO DE EDUCACAO TECNICA E CULTURAL,Imunidade,Templos Religiosos
6282-0,R  JOSE FACANHA 648  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430005,CENTRO ESPIRITA A SAMARITANA,Imunidade,Templos Religiosos
162550-0,AV PRO GOMES DE MATOS 955  PARREÃO FORTALEZA - CE CEP:60410357,CENTRO ESPIRITA ANTONIO ALVES DE LINHARES,Imunidade,Templos Religiosos
749-8,R DOM MANUEL DE MEDEIROS 927  PARQUE ARAXÁ FORTALEZA - CE CEP:60450605,CENTRO ESPIRITA BEZERRA DE MENEZES,Imunidade,Templos Religiosos
236785-8,R  HUGO VITOR 670  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360820,CENTRO ESPIRITA CAMILLE FLAMMARION,Imunidade,Templos Religiosos
19064-0,R  MOMBACA 157  ALDEOTA FORTALEZA - CE CEP:60160190,CENTRO ESPIRITA CASA DO CAMINHO,Imunidade,Templos Religiosos
42232-0,R SEN CATUNDA 117  BENFICA FORTALEZA - CE CEP:60015320,CENTRO ESPÍRITA FRANCISCO DE ASSIS,Imunidade,Templos Religiosos
284006-5,AV PRS COSTA E SILVA 5255  PASSARÉ FORTALEZA - CE CEP:60862515,CENTRO ESPIRITA JESUS DE NAZARE,Imunidade,Templos Religiosos
80761-3,R  AMETISTA 482  CARLITO PAMPLONA FORTALEZA - CE CEP:60310053,CENTRO ESPIRITA JOAO BATISTA,Imunidade,Templos Religiosos
149771-5,R  AMADEU FURTADO 78  PARQUELÂNDIA FORTALEZA - CE CEP:60450135,CENTRO ESPIRITA JOAO O EVANGELISTA,Imunidade,Templos Religiosos
277825-4,R  JULIO LIMA 210  Q012 CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60822500,CENTRO ESPIRITA LAR DA DIVINA LUZ,Imunidade,Templos Religiosos
606228-8,R CON DE CASTRO 920  PARANGABA FORTALEZA - CE CEP:60720096,CENTRO ESPIRITA LAR DOS HUMILDES,Imunidade,Templos Religiosos
64515-0,R  DOS ARARIUS 245  PRAIA DE IRACEMA FORTALEZA - CE CEP:60060320,CENTRO ESPIRITA PEDRO O APOSTOLO DE JESUS,Imunidade,Templos Religiosos
26520-9,R  VICENTE SPINDOLA 39  VILA UNIÃO FORTALEZA - CE CEP:60420211,CENTRO JUVENIL DOM BOSCO,Imunidade,Templos Religiosos
128223-9,R  ALBERTO FERREIRA 564  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,CHILDFUND BRASIL,Imunidade,Templos Religiosos
44459-6,R  CARLOS SEVERO 171  FARIAS BRITO FORTALEZA - CE CEP:60011100,CIRCULO DE TRAB. CRIST. DE OTAVIO BONFIM,Imunidade,Templos Religiosos
54884-7,R DES LEITE ALBUQUERQUE 1080  ALDEOTA FORTALEZA - CE CEP:60150150,COLEGIO BATISTA SANTOS DUMONT,Imunidade,Templos Religiosos
225967-2,R  RUI MONTE 331  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60360640,COLEGIO IRMA MARIA MONTENEGRO CIMM,Imunidade,Templos Religiosos
260193-1,R PDE FRANCISCO PITA 1392  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60821050,COLEGIO SANTO INACIO,Imunidade,Templos Religiosos
426169-0,R  MATOS VASCONCELLOS 1591  BELA VISTA FORTALEZA - CE CEP:60442103,COMBONIANOS NORDESTE,Imunidade,Templos Religiosos
30710-6,R  NUNES VALENTE 2160  DIONÍSIO TORRES FORTALEZA - CE CEP:60125071,COMUNIDADE CATOLICA MISSIONARIA UM NOVO CAMINHO,Imunidade,Templos Religiosos
802169-4,R  MARIA TOMASIA 72  B ALDEOTA FORTALEZA - CE CEP:60150170,COMUNIDADE CATOLICA SHALOM,Imunidade,Templos Religiosos
19908-7,R  MARIA TOMASIA 72  ALDEOTA FORTALEZA - CE CEP:60150170,COMUNIDADE CATOLICA SHALOM,Imunidade,Templos Religiosos
802168-6,R  MARIA TOMASIA 72  A ALDEOTA FORTALEZA - CE CEP:60150170,COMUNIDADE CATOLICA SHALOM,Imunidade,Templos Religiosos
197900-0,R  LUIS DE CASTRO 390  BONSUCESSO FORTALEZA - CE CEP:60520485,COMUNIDADE CATOLICA VEU DE MARIA PARA JESUS,Imunidade,Templos Religiosos
700043-0,R  HONORINO MAIA 77  PARQUE SANTA MARIA FORTALEZA - CE CEP:60873000,COMUNIDADE CRISTA PEDRA ANGULAR,Imunidade,Templos Religiosos
180117-1,R CAP ARAGAO 427  ALTO DA BALANÇA FORTALEZA - CE CEP:60851150,COMUNIDADE EVANGELICA TEMPLO DOS PRINCIPES,Imunidade,Templos Religiosos
676591-2,AV  EDILSON BRASIL SOARES 1181  PARQUE MANIBURA FORTALEZA - CE CEP:60834005,COMUNIDADE EVANGELICA VERDADEIROS ADORADORES,Imunidade,Templos Religiosos
50771-7,R MAJ FACUNDO 1621  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60025101,CONFERENCIA DOS RELIGIOSOS DO BRASIL,Imunidade,Templos Religiosos
48403-2,AV  FELINO BARROSO 405  FÁTIMA FORTALEZA - CE CEP:60050130,CONFERENCIA NACIONAL DOS BISPOS DO BRASIL,Imunidade,Templos Religiosos
319284-9,R  DAS PEDRINHAS (GENIBAU) 1211  GENIBAÚ FORTALEZA - CE CEP:60534030,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
188822-6,R  ANTONIO IVO 1438  JOÃO XXIII FORTALEZA - CE CEP:60525280,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
177418-2,R TEN WILSON 179  A ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
723745-6,R PAT SAMUEL MUNGUBA 1000  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430372,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
304203-0,R  CODO 125  JANGURUSSU FORTALEZA - CE CEP:60870430,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
8668-1,R PAT SAMUEL MUNGUBA 1000  A RODOLFO TEÓFILO FORTALEZA - CE CEP:60430372,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
123140-5,R  ALBERTO FERREIRA 1513  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
472479-8,R DR JOAO AMORA 541  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
354109-6,AV  MOZART PINHEIRO DE LUCENA 2705  QUINTINO CUNHA FORTALEZA - CE CEP:60352645,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
309530-4,R  ANTONIO IVO 1440  JOÃO XXIII FORTALEZA - CE CEP:60525280,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
415150-0,R  LUIZA MIRANDA COELHO 200  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811110,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
294505-3,R DR JOAO AMORA 647  MANOEL SÁTIRO FORTALEZA - CE CEP:60713300,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
914158-8,R  RIBEIRAO NOVO 137  BARRA DO CEARÁ FORTALEZA - CE CEP:60331780,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
188785-8,R  NOEL ROSA 1801  JOÃO XXIII FORTALEZA - CE CEP:60525310,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
281966-0,R  TRAJANO DE MORAIS 1010  PASSARÉ FORTALEZA - CE CEP:60861710,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
271621-6,AV TEN JOSE NEWTON 513  MESSEJANA FORTALEZA - CE CEP:60841250,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
296920-3,R TEN MATIAS PEIXOTO 120  PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60760090,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
211998-6,R  EDSON MARTINS 910  GRANJA LISBOA FORTALEZA - CE CEP:60543454,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
177419-0,R TEN WILSON 179  ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,CONGREGACAO CRISTA NO BRASIL,Imunidade,Templos Religiosos
301559-9,R MAD ANA COUTO 147  MESSEJANA FORTALEZA - CE CEP:60842390,CONGREGACAO DAS FILHAS DE SANTA TERESA DE JESUS,Imunidade,Templos Religiosos
70731-7,R COS TRISTAO 73  CENTRO FORTALEZA - CE CEP:60050100,CONGREGAÇÃO DAS FILHAS DO CORAÇÃO IMACULADO DE MARIA,Imunidade,Templos Religiosos
8328-3,R MAJ WEYNE 1624  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450,CONGREGACAO DAS IRMANZINHAS DA IMACULADA CONCEICAO,Imunidade,Templos Religiosos
3559-9,R  VINICIUS DE MORAES 100  SÃO GERARDO FORTALEZA - CE CEP:60325120,CONGREGACAO DAS IRMAS DE SANTA ELISABETE,Imunidade,Templos Religiosos
254552-7,R CON LIMA SUCUPIRA 609  SERRINHA FORTALEZA - CE CEP:60741255,CONGREGACAO DAS IRMAS DOS ANJOS,Imunidade,Templos Religiosos
397225-9,AV PRO JOSE ARTHUR DE CARVALHO 1250  LAGOA REDONDA FORTALEZA - CE CEP:60831370,CONGREGACAO DAS IRMAS MISSIONARIAS DA IMACULADA CONCEICAO,Imunidade,Templos Religiosos
20735-7,R MON BRUNO 751  MEIRELES FORTALEZA - CE CEP:60115190,CONGREGACAO DAS MISSIONARIAS REPARADORAS DO C DE JESUS,Imunidade,Templos Religiosos
208994-7,R  RIO GRANDE DO SUL 1728  JÓQUEI CLUBE FORTALEZA - CE CEP:60440214,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,Imunidade,Templos Religiosos
208903-3,R  RIO GRANDE DO SUL 1837  JÓQUEI CLUBE FORTALEZA - CE CEP:60440214,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,Imunidade,Templos Religiosos
209011-2,R  RIO GRANDE DO SUL 142  JÓQUEI CLUBE FORTALEZA - CE CEP:60441145,CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,Imunidade,Templos Religiosos
150090-2,R  SILVIO ROMERO 370  FLORESTA FORTALEZA - CE CEP:60336100,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,Imunidade,Templos Religiosos
150091-0,R  SILVIO ROMERO 370  FLORESTA FORTALEZA - CE CEP:60336100,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,Imunidade,Templos Religiosos
142768-7,AV DR THEBERGE 2288  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60355000,CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,Imunidade,Templos Religiosos
13160-1,R  CARLOS CAMARA 1638  DAMAS FORTALEZA - CE CEP:60425810,CONGREGACAO EVANGELICA LUTERANA ESPERANNCA,Imunidade,Templos Religiosos
551007-4,R PDE PEDRO DE ALENCAR 781  MESSEJANA FORTALEZA - CE CEP:60840282,CONGREGACAO FILHAS DE SANTA ANA,Imunidade,Templos Religiosos
